ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
0012 001 053017,0012,001,1601 N PAYSON ST,05/30/2017,Easterwood,Western,7,"(39.30667117, -76.64944915)"
0012 001C 011215,0012,001C,1607 N PAYSON ST,01/12/2015,EASTERWOOD,WESTERN,7,"(39.30682311, -76.64945829)"
0012 001D 120512,0012,001D,1609 N PAYSON ST,12/05/2012,EASTERWOOD,WESTERN,7,"(39.30687489, -76.64946136)"
0012 002A 110510,0012,002A,1613 N PAYSON ST,11/05/2010,EASTERWOOD,WESTERN,7,"(39.30696687, -76.64946692)"
0012 002E 020514,0012,002E,1621 N PAYSON ST,02/05/2014,EASTERWOOD,WESTERN,7,"(39.3071448, -76.64947761)"
0012 004 032310,0012,004,1627 N PAYSON ST,03/23/2010,EASTERWOOD,WESTERN,7,"(39.30723714, -76.64948276)"
0012 009 121415,0012,009,1637 N PAYSON ST,12/14/2015,EASTERWOOD,WESTERN,7,"(39.30742858, -76.64949225)"
0012 014 111315,0012,014,1647 N PAYSON ST,11/13/2015,EASTERWOOD,WESTERN,7,"(39.30762139, -76.649503)"
0012 016 010809,0012,016,1651 N PAYSON ST,01/08/2009,EASTERWOOD,WESTERN,7,"(39.3076988, -76.64950513)"
0012 022 090810,0012,022,1644 APPLETON ST,09/08/2010,EASTERWOOD,WESTERN,7,"(39.30752304, -76.64915547)"
0012 027 013012,0012,027,1634 APPLETON ST,01/30/2012,EASTERWOOD,WESTERN,7,"(39.30732939, -76.64914333)"
0012 028 032312,0012,028,1632 APPLETON ST,03/23/2012,EASTERWOOD,WESTERN,7,"(39.30729103, -76.64914326)"
0012 029 080917,0012,029,1630 APPLETON ST,08/09/2017,Easterwood,Western,7,"(39.30725339, -76.64913999)"
0012 040 061814,0012,040,1608 APPLETON ST,06/18/2014,EASTERWOOD,WESTERN,7,"(39.30683215, -76.64911417)"
0012 042 071712,0012,042,1604 APPLETON ST,07/17/2012,EASTERWOOD,WESTERN,7,"(39.3067543, -76.64910941)"
0012 054 040309,0012,054,1619 APPLETON ST,04/03/2009,EASTERWOOD,WESTERN,7,"(39.30703977, -76.64859727)"
0012 063 011615,0012,063,1637 APPLETON ST,01/16/2015,EASTERWOOD,WESTERN,7,"(39.30738415, -76.64861625)"
0012 005 082417,0012,005,1629 N PAYSON ST,08/24/2017,Easterwood,Western,7,"(39.30727585, -76.6494848)"
0012 062 051718,0012,062,1635 APPLETON ST,05/17/2018,Easterwood,Western,7,"(39.307346, -76.64861423)"
0012 071 030415,0012,071,1653 APPLETON ST,03/04/2015,EASTERWOOD,WESTERN,7,"(39.30769193, -76.64863244)"
